Storm arrival rate, Cell intensity ratio, Cell duration shape, Cell duration scale, Cell arrival rate, Storm duration rate, Exponent
0.012785529660149973,0.17712632741300346,0.7117935255827573,6.526229813860996,0.6918540885276628,0.018302969600764444,1.0
0.013257804504701251,0.12837815485543058,0.6947960840668492,4.883521999352224,1.1739734975537852,0.02633415626182072,1.0
0.01491953841292748,0.48352502801601815,3.324967380618517,2.1183477004708893,0.45686121947775504,0.05034830606507157,1.0
0.015365999186409872,0.04013103330462126,1.2051993363930047,9.31548434276321,2.6176912148617473,0.021146402163786528,1.0
0.015892655843163905,0.5706611733744886,0.8869400049716963,7.14225190749066,0.3321198178173881,0.03945098653971686,1.0
0.01359907985634301,0.2534865684312031,0.5207311828959451,20.0,0.8295833847963845,0.026660434459746085,1.0
0.017613470609555648,0.5912383249351176,0.3523442229789442,4.862209394065319,20.0,2.069650010668437,1.0
0.010062134588091,2.01902071029035,0.8793017278196299,4.094050218168443,0.046082884922612255,0.011399779307940557,1.0
0.013482376901496814,1.3106731108906595,0.4573088793245988,5.662991146028809,0.1314417975229458,0.030264796947636213,1.0
0.011787831803508918,0.33784986617755974,0.5338907360559659,4.334518223711357,0.4528770905350867,0.023439694793385223,1.0
0.00870924538266007,0.3111683938457923,0.8187755478410071,6.078270266783646,0.5527832662524377,0.016457434291479972,1.0
0.059295858177009275,0.8561591113147887,0.9689252111665104,1.6095417456209677,17.100974005858653,19.999959169877354,1.0
